,Unnamed: 0.1,url,fetch_date,active,removal_date,hinta,valmistusvuosi,Kohdenumero,Tyyppi,Asuintilojen pinta-ala,Kerrokset,Tontin omistus,hoitovastike,yhtiovastike_yhteensa,huoneita,tontin_vuokra-aika,katuosoite,neliohinta,neliovastike,lat,lon
52,52,https://www.etuovi.com/kohde/80387599,25072025,True,,59500.0,1961.0,80387599,1h + k + kph,31.0,3/3 (ylin kerros),Vuokra,153.45,153.45,1,30.12.2045,Rommakkokatu 30 B,1919.354838709677,4.949999999999999,65.0065725,25.4489148
53,53,https://www.etuovi.com/kohde/590897,25072025,True,,139500.0,1984.0,590897,"2h, k, s",58.0,2/4,Oma,174.0,205.95,2,,Torikatu 64 C,2405.172413793104,3.0,65.0154673,25.4729626
54,54,https://www.etuovi.com/kohde/80386260,25072025,True,,129000.0,1963.0,80386260,3h + kk + kh + vh + parveke,59.0,4/6,Oma,224.2,489.7,3,,Isokatu 69 B,2186.4406779661017,3.8,65.0088841,25.4685545
55,55,https://www.etuovi.com/kohde/589846,25072025,True,,218000.0,1965.0,589846,"4h, k",91.0,3/4,Oma,364.0,364.0,4,,Kirkkokatu 55 A,2395.6043956043954,4.0,65.0073598,25.4641199
56,56,https://www.etuovi.com/kohde/20443576,25072025,True,,119000.0,1984.0,20443576,"2h, k, kh / wc, s, vh, parv.",50.5,3/5,Oma,217.15,217.15,2,,Kirkkokatu 61,2356.4356435643563,4.3,65.0067138,25.4631917
57,57,https://www.etuovi.com/kohde/80360800,25072025,True,,117000.0,1981.0,80360800,"3h, k, s",73.0,2/3,Oma,292.0,335.8,3,,Torikatu 53,1602.7397260273972,4.0,65.0058545,25.4595532
58,58,https://www.etuovi.com/kohde/1381011,25072025,True,,0.0,1960.0,1381011,"2h, k, kph, parveke",40.5,6/6,Vuokra,220.4,241.1,2,30.12.2055,Tarkka-ampujankatu 18,0.0,5.441975308641975,65.0024096,25.4582975
59,59,https://www.etuovi.com/kohde/80378796,25072025,True,,59000.0,1959.0,80378796,"1h, kk, kph, vh",27.0,3/6,Vuokra,169.65,250.38,1,30.12.2055,Tarkka-ampujankatu 20 D,2185.185185185185,6.283333333333333,65.0021866,25.4594282
60,60,https://www.etuovi.com/kohde/585603,25072025,True,,98000.0,1974.0,,,,,,213.5,213.5,2,,Peltokatu 18 C,,,65.0048949,25.4668536
61,61,https://www.etuovi.com/kohde/1378125,25072025,True,,127000.0,1959.0,1378125,"4h, k, kh, vh",71.0,1/3,Oma,248.5,336.54,4,,Puistokatu 32,1788.7323943661972,3.5,65.0043076,25.4608238
62,62,https://www.etuovi.com/kohde/21590228,25072025,True,,189900.0,2018.0,21590228,2h + kt + s,47.5,7/16,Oma,156.75,0.0,2,,Isokatu 87,3997.8947368421054,3.3,65.003996,25.4624652
63,63,https://www.etuovi.com/kohde/20000240,25072025,True,,89000.0,1975.0,20000240,1h + kk + s + kh + lasitettu parveke,37.0,3/3,Oma,151.7,193.14,1,,Kirkkokatu 52,2405.4054054054054,4.1,65.0056574,25.4603252
